
time;ax;ay;az;wx;wy;wz;
23,945007;0,4979;-0,4731;0,3328;-0,0609;-0,0093;-0,0095;
24,045079;-0,0636;0,0271;0,8759;0,0026;-0,0069;-0,0192;
24,144788;0,0765;0,0337;0,5270;0,0148;-0,0252;0,0235;
24,245439;0,2634;-0,3511;0,3839;-0,0365;0,0115;-0,0058;
24,345658;-0,3189;0,3940;-0,8683;-0,0072;-0,0093;0,0027;
24,445736;-0,4509;0,4939;-2,0014;-0,0304;0,0005;0,0076;
24,546041;-0,0923;-0,3558;-0,6015;0,0014;0,0115;-0,0119;
24,646182;-0,3803;0,2601;-1,0642;0,0356;-0,0142;0,0089;
24,746293;-0,3459;0,5368;-0,9300;0,0063;0,0066;-0,0021;
24,846554;-0,2900;-0,2005;-0,6473;0,0173;-0,0044;0,0027;
24,946822;-0,1090;0,1125;-0,7854;0,0002;0,0053;0,0125;
25,046707;-0,4563;-0,0259;-0,5864;0,0014;0,0176;0,0199;
25,147114;-0,0552;-0,0947;-0,4301;-0,0035;0,0078;0,0137;
25,246847;-0,1608;0,3201;-0,3410;0,0087;0,0139;0,0015;
25,346974;-0,0828;0,0296;-0,3866;0,0026;-0,0081;0,0089;
25,447080;-0,1867;0,2654;0,0254;-0,0011;-0,0020;-0,0168;
25,547173;-0,1301;0,1333;-0,1358;0,0197;-0,0069;-0,0046;
25,647249;-0,0257;1,0976;-1,4113;0,0466;-0,0069;-0,0510;
25,747677;-0,3981;0,6492;-1,0587;0,0478;-0,0008;-0,0034;
25,848225;-0,7670;-0,1897;-1,5074;0,0050;-0,0203;0,0235;
25,947788;-1,2955;-0,1586;-2,8062;-0,0206;-0,0313;-0,0058;
26,048495;-1,0959;1,5025;-1,9124;0,1419;-0,0435;0,0137;
26,148993;-0,5287;2,0096;-1,8691;0,0331;-0,0228;0,0357;
26,249000;-0,2888;-0,2036;-2,1337;0,0368;-0,0118;0,0199;
26,348795;-0,1011;-0,1862;-1,8991;-0,0292;-0,0802;-0,0791;
26,449226;-0,1228;1,0692;-1,4053;-0,0145;-0,1132;-0,1536;
26,549326;-0,1986;1,2203;-1,6689;0,0136;-0,1620;-0,1011;
26,649839;0,1363;0,1207;-2,6870;-0,0060;-0,1840;-0,0925;
26,750233;-0,2520;-0,2205;-2,3650;0,0673;-0,2683;0,0858;
26,850389;1,0536;1,2304;-1,6657;0,0796;-0,2011;-0,0840;
26,950505;1,8010;0,6820;-2,0800;-0,0377;-0,3184;-0,0657;
27,050668;1,9681;0,5251;-1,1411;0,0454;-0,2854;-0,0510;
27,150613;2,1561;0,9653;-0,6256;0,0454;-0,3917;0,0137;
27,250677;2,4203;0,7688;0,5265;0,0283;-0,3490;-0,1158;
27,351112;2,0546;0,0556;-0,4038;-0,1086;-0,3099;-0,2929;
27,451443;1,1497;1,1915;0,5494;0,0454;-0,4565;-0,1158;
27,551495;2,2296;0,9504;-1,0358;0,1358;-0,4760;-0,1109;
27,651703;2,6680;0,5375;-0,9852;0,1578;-0,4956;-0,1353;
27,751255;3,1822;0,3931;-1,2491;0,0686;-0,5554;-0,0657;
27,851750;3,1027;-0,4453;-1,4274;-0,0658;-0,4919;-0,1793;
27,952600;2,1086;-0,0402;-0,5138;-0,0964;-0,5725;-0,2343;
28,053377;3,4830;1,0807;-0,7988;-0,0841;-0,4626;-0,2330;
28,154301;0,9939;0,9858;1,1581;0,0234;-0,5701;-0,0816;
28,254023;2,4824;0,7090;-0,4883;-0,0304;-0,5493;-0,0571;
28,354061;1,9665;-0,3389;-0,5818;0,0148;-0,5652;-0,0999;
28,455077;2,6933;0,0367;-0,2357;0,1077;-0,5286;-0,1292;
28,555390;2,2895;0,6345;-0,5458;-0,0573;-0,4650;-0,1463;
28,655689;1,6719;-0,2437;-1,2096;-0,0133;-0,4333;-0,1695;
28,755360;1,0031;0,1407;-0,3719;0,0283;-0,4003;-0,1658;
28,856249;0,5268;0,8165;-0,6662;0,0722;-0,3282;-0,1549;
28,957369;0,3417;-0,1086;-1,1109;0,0283;-0,3392;-0,1023;
29,057096;0,2955;0,3472;-0,5994;-0,0145;-0,2537;-0,0864;
29,157201;0,2078;-0,2602;-1,0942;-0,0389;-0,2256;-0,0742;
29,257620;0,7411;0,0171;-1,6957;-0,0047;-0,2146;-0,1268;
29,357816;0,6601;-0,3609;-0,9060;-0,0353;-0,1413;-0,0241;
29,457641;-0,1901;-0,2077;-0,6394;0,1639;-0,1474;0,0015;
29,558031;1,1102;0,9091;-1,3391;0,0527;-0,1535;-0,0339;
29,658152;0,3652;-0,5055;-1,8096;0,0038;-0,1633;-0,0168;
29,758085;-0,2195;1,1979;-1,5750;0,0356;-0,1999;-0,0816;
29,858637;0,0136;0,5178;-1,8430;0,0918;-0,1413;0,0480;
29,958950;0,5077;-0,6037;-1,9030;0,0087;-0,1254;0,0663;
30,058997;1,5393;-2,6955;-3,0768;0,0429;-0,1290;-0,1439;
30,160452;-1,5141;0,1832;-1,9763;-0,1843;-0,1694;0,0602;
30,260115;-0,5694;0,2428;-1,7546;0,0637;-0,3282;0,2056;
30,360097;4,8414;1,9454;-2,4317;-0,0328;-0,2524;-0,0828;
30,460511;2,3554;-1,0729;-1,2168;-0,0499;0,0139;-0,0987;
30,560880;0,8489;-1,1622;-2,4191;0,1700;-0,2341;0,0027;
30,661303;2,3653;0,2545;-0,3913;0,1064;-0,0582;0,0455;
30,761418;0,4818;-2,3804;-1,5167;0,1089;-0,2451;0,1970;
30,860947;1,1200;-0,3948;-1,1836;-0,0841;-0,0557;0,0333;
30,961293;-0,8452;0,8299;-0,0474;-0,0292;0,0444;-0,0608;
31,061148;0,5908;-1,0552;-1,2521;-0,0304;-0,1303;-0,0498;
31,161723;-0,6596;0,2299;-0,6328;-0,0597;-0,1608;0,1115;
31,261305;1,8141;0,7156;-0,7763;0,0417;-0,1901;-0,0229;
31,361976;0,1704;1,0791;0,2689;0,0136;-0,0069;0,1457;
31,461910;0,3104;0,1921;-1,3152;0,0270;-0,0386;-0,2807;
31,562864;-2,0164;0,4147;-0,1620;0,0551;0,1043;0,0858;
31,662380;-1,5399;-2,6209;-0,6581;0,0197;-0,0765;0,2410;
31,763222;1,8181;1,2571;-1,3317;0,0283;-0,1144;-0,1280;
31,862769;-0,8656;0,1287;-1,0895;-0,0988;-0,0166;-0,0779;
31,962952;-1,8828;-2,6818;-1,4202;-0,1697;-0,0680;0,1713;
32,063118;0,2408;2,1400;0,6877;0,1590;0,0664;-0,1500;
32,163840;0,0798;-0,9013;-1,3413;-0,0426;-0,0276;-0,0315;
32,263499;-0,7352;1,2302;0,8964;-0,0328;0,0383;-0,2123;
32,363781;-0,3952;-0,8675;1,6467;-0,0292;-0,0081;0,1310;
32,463545;-0,8547;-1,2065;1,0785;0,0637;0,0237;0,1066;
32,563687;-0,1946;0,4086;0,8908;0,0050;-0,1290;-0,0327;
32,664108;1,7241;-0,9045;2,2845;-0,0964;-0,0350;0,0980;
32,764458;2,3981;0,4165;3,9414;0,0014;-0,0252;0,0858;
32,864509;1,7425;0,4281;2,4477;-0,0585;0,0444;-0,1487;
32,965024;0,1395;0,0788;3,6421;0,0050;0,0224;-0,0559;
33,065123;0,3007;-0,7751;3,7846;0,1064;0,2338;-0,1842;
33,165387;-0,5677;-1,1690;3,3109;-0,1428;-0,0154;0,1787;
33,265369;2,0073;-1,7839;2,8574;-0,0805;0,0078;0,0137;
33,365637;0,2007;0,5270;5,1182;0,0710;0,0053;-0,0351;
33,465711;0,9768;-0,9551;3,2855;-0,0121;-0,0350;0,0333;
33,565846;1,0439;-1,5304;3,1044;-0,0353;0,0481;0,0919;
33,665949;0,8163;-1,8712;3,3818;0,0661;0,0298;0,0272;
33,766341;0,2111;-0,3421;3,2256;-0,0023;-0,0338;-0,0363;
33,866292;0,5956;0,0916;3,2438;-0,0194;0,0970;0,0247;
33,966507;-0,6428;-0,9863;2,3543;0,0771;0,1006;0,0638;
34,066705;-1,4453;-0,7317;1,9000;-0,0133;0,1422;-0,0290;
34,167037;-1,8954;-0,9969;1,7885;0,0600;0,0823;-0,0339;
34,267660;-2,6167;-2,0929;1,9087;-0,2271;0,1825;-0,0119;
34,367334;-2,5704;-0,1795;1,8939;0,0588;0,1043;0,1066;
34,467810;-1,6123;-0,7946;0,8272;-0,0780;0,1556;-0,0205;
34,567792;-3,3782;0,2410;-0,1529;0,0038;0,0909;0,0528;
34,668469;-2,5910;-1,1342;0,7426;-0,0475;-0,0032;0,3668;
34,769151;0,2021;0,1022;0,8247;-0,0890;-0,0606;0,3351;
34,869365;1,0206;-0,1100;0,7024;-0,0475;0,0652;0,2166;
34,969558;0,7874;-0,6324;-1,1551;0,0283;-0,0313;-0,0254;
35,069859;0,1494;-1,9365;-1,6164;0,0283;0,0224;-0,1756;
35,169418;-0,8744;-0,7878;-1,0963;0,0234;-0,0924;0,2214;
35,270357;2,4039;-1,3166;-1,0251;0,0564;-0,0643;0,2398;
35,370680;2,0495;1,0900;-0,5542;0,0954;-0,0692;-0,1451;
35,470773;1,1804;-0,6766;-2,0990;0,0038;-0,0533;0,0137;
35,571659;1,0928;-3,5858;-2,0454;-0,2271;-0,1107;0,0321;
35,671297;-1,9913;-0,4792;-1,3797;-0,2369;-0,2952;-0,0571;
